,accuracy,sensitivity,specifity,f1
NeuralNetwork,0.8955798864557989,0.6055045871559633,0.9486687455025186,0.6421125781792911
KNN,0.8801703163017032,0.3237221494102228,0.9820100743583593,0.4552995391705069
DecisionTree,0.9018653690186537,0.5334207077326344,0.9692971935715999,0.6271186440677966
